
AMDuProf PROFILE REPORT

EXECUTION
Target Path:
Command Line Arguments:
Working Directory:
Environment Variables:
CPU Details:,"Family(0x17), Model(0x1), Number of Cores(96)"
Operating System:,"LinuxUbuntu 18.04.2 LTS-64 (Kernel: 4.15.0)"

PROFILE DETAILS
Profile Session Type:,"Investigate Data Access"
Profile Scope:,"System-Wide"
CPU Mask:,"0x1FFFFFFFF"
CPU Affinity Mask:,"0xFFFFFFFFFFFFFFFFFFFFFFFF"
Profile Start Time:,"Apr-06-2020_22-16-04"
Profile End Time:,"Apr-06-2020_22-20-05"
Profile Duration:,"241 seconds"
Data Folder:,"/tmp"
Call Stack Sampling:,"False"

Monitored Events:,Name,Interval,Unitmask,User,OS
,"Misaligned loads (PMCx047)",25000,0,True,True
,"Cycles not in Halt (PMCx076)",250000,0,True,True
,"Retired Instructions (PMCx0C0)",250000,0,True,True
,"LS Dispatch (PMCx029)",250000,7,True,True
,"Data Cache Refills from System (PMCx043)",25000,11,True,True
,"Requests to L2 Group1 (PMCx060)",25000,c8,True,True
,"L1 DTLB Miss (PMCx045)",25000,ff,True,True

"5 HOTTEST FUNCTIONS (Sort Event - CPU clocks)"
"__x86_indirect_thunk_rax" (BINARY FILE NOT FOUND),11,2575,643,685,100,295,34,1.065,0.046,0.043,0.250,4.005,1.065,0.005,0.016,0.002,0.002


PROFILE REPORT FOR PROCESS - /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java (PID - 81863)
PROCESS,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java",1659,47764,42534,41420,7861,21329,23188,0.9738,0.0501,0.0515,0.8905,1.1230,0.9738,0.0545,0.0185,0.0039,0.0040

THREAD SUMMARY
THREAD,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"Thread-82053",1657,39144,39019,38894,7455,19565,22942,0.9968,0.0501,0.0503,0.9968,1.0032,0.9968,0.0588,0.0191,0.0042,0.0043
"Thread-82037",0,406,224,126,9,111,11,0.5625,0.0496,0.0881,0.5517,1.8125,0.5625,0.0049,0.0040,0.0000,0.0000
"Thread-82041",0,315,170,104,14,81,9,0.6118,0.0476,0.0779,0.5397,1.8529,0.6118,0.0053,0.0082,0.0000,0.0000
"Thread-82048",0,292,122,76,7,71,12,0.6230,0.0582,0.0934,0.4178,2.3934,0.6230,0.0098,0.0057,0.0000,0.0000
"Thread-82013",0,239,176,115,4,30,3,0.6534,0.0170,0.0261,0.7364,1.3580,0.6534,0.0017,0.0023,0.0000,0.0000
"Thread-81881",0,185,41,31,9,23,3,0.7561,0.0561,0.0742,0.2216,4.5122,0.7561,0.0073,0.0220,0.0000,0.0000
"Thread-81899",0,171,37,32,6,23,5,0.8649,0.0622,0.0719,0.2164,4.6216,0.8649,0.0135,0.0162,0.0000,0.0000
"Thread-81896",0,160,42,41,5,23,5,0.9762,0.0548,0.0561,0.2625,3.8095,0.9762,0.0119,0.0119,0.0000,0.0000
"Thread-81901",0,155,45,41,7,24,1,0.9111,0.0533,0.0585,0.2903,3.4444,0.9111,0.0022,0.0156,0.0000,0.0000
"Thread-81890",0,153,36,34,5,22,5,0.9444,0.0611,0.0647,0.2353,4.2500,0.9444,0.0139,0.0139,0.0000,0.0000


MODULE SUMMARY
