pid 83565's new affinity list: 0-11,48-59
pid 83566's current affinity list: 0-11,48-59
pid 83566's new affinity list: 0-11,48-59
pid 83567's current affinity list: 0-11,48-59
pid 83567's new affinity list: 0-11,48-59
pid 83568's current affinity list: 0-11,48-59
pid 83568's new affinity list: 0-11,48-59
pid 83569's current affinity list: 0-11,48-59
pid 83569's new affinity list: 0-11,48-59
pid 83570's current affinity list: 0-11,48-59
pid 83570's new affinity list: 0-11,48-59
pid 83571's current affinity list: 0-11,48-59
pid 83571's new affinity list: 0-11,48-59
pid 83572's current affinity list: 0-11,48-59
pid 83572's new affinity list: 0-11,48-59
pid 83573's current affinity list: 0-11,48-59
pid 83573's new affinity list: 0-11,48-59
pid 83574's current affinity list: 0-11,48-59
pid 83574's new affinity list: 0-11,48-59
pid 83575's current affinity list: 0-11,48-59
pid 83575's new affinity list: 0-11,48-59
pid 83578's current affinity list: 0-11,48-59
pid 83578's new affinity list: 0-11,48-59
pid 83644's current affinity list: 0-11,48-59
pid 83644's new affinity list: 0-11,48-59
pid 83648's current affinity list: 0-11,48-59
pid 83648's new affinity list: 0-11,48-59
pid 83650's current affinity list: 0-11,48-59
pid 83650's new affinity list: 0-11,48-59
pid 83656's current affinity list: 0-11,48-59
pid 83656's new affinity list: 0-11,48-59
pid 83658's current affinity list: 0-11,48-59
pid 83658's new affinity list: 0-11,48-59
pid 83660's current affinity list: 0-11,48-59
pid 83660's new affinity list: 0-11,48-59
pid 83666's current affinity list: 0-11,48-59
pid 83666's new affinity list: 0-11,48-59
pid 83668's current affinity list: 0-11,48-59
pid 83668's new affinity list: 0-11,48-59
pid 83670's current affinity list: 0-11,48-59
pid 83670's new affinity list: 0-11,48-59
pid 83672's current affinity list: 0-11,48-59
pid 83672's new affinity list: 0-11,48-59
pid 83677's current affinity list: 0-11,48-59
pid 83677's new affinity list: 0-11,48-59
pid 83683's current affinity list: 0-11,48-59
pid 83683's new affinity list: 0-11,48-59
pid 83685's current affinity list: 0-11,48-59
pid 83685's new affinity list: 0-11,48-59
pid 83777's current affinity list: 0-11,48-59
pid 83777's new affinity list: 0-11,48-59
pid 84066's current affinity list: 0-11,48-59
pid 84066's new affinity list: 0-11,48-59
pid 84111's current affinity list: 0-11,48-59
pid 84111's new affinity list: 0-11,48-59
pid 84147's current affinity list: 0-11,48-59
pid 84147's new affinity list: 0-11,48-59
pid 84168's current affinity list: 0-11,48-59
pid 84168's new affinity list: 0-11,48-59
pid 84186's current affinity list: 0-11,48-59
pid 84186's new affinity list: 0-11,48-59
pid 87891's current affinity list: 0-11,48-59
pid 87891's new affinity list: 0-11,48-59
pid 87926's current affinity list: 0-11,48-59
pid 87926's new affinity list: 0-11,48-59
pid 87944's current affinity list: 0-11,48-59
pid 87944's new affinity list: 0-11,48-59
pid 87962's current affinity list: 0-11,48-59
pid 87962's new affinity list: 0-11,48-59
pid 87980's current affinity list: 0-11,48-59
pid 87980's new affinity list: 0-11,48-59
